,Group,Core Number,Gainloss Number,Odds Ratio,p_value
0,Total,1755,2036,0.0,0.0
1,amrfinder_hit,0,7,6.051256776737309,0.07604663231507722
2,virulence_hit,9,11,1.0538271604938272,1.0
3,defensefinder_hit,0,15,13.01830776843147,0.000778815108331752
4,A,1,0,0.0,0.4629385386441572
5,B,0,0,,1.0
6,C,106,56,0.43998475319230035,6.881188007955159e-07
7,D,29,27,0.7998832838433944,0.4208128681409977
8,E,165,107,0.5345209482067957,1.015893275188846e-06
9,F,92,27,0.2429339710433484,3.6252985699410836e-12
10,G,97,78,0.680917831155292,0.015905934277950628
11,H,94,53,0.47227497559039067,1.4234897425328497e-05
12,I,51,27,0.4490381518461043,0.0007811304372589632
13,J,164,47,0.22923947565267508,1.250820736879699e-21
14,K,108,95,0.746393611540443,0.04308420629492892
15,L,90,157,1.5457690260777008,0.0014933563234143838
16,M,87,71,0.6927437044836361,0.02754978091001705
17,N,4,7,1.510226712666338,0.5605325585039429
18,O,54,39,0.6151727591387081,0.02654563806276376
19,P,126,81,0.5356594811837778,2.082594119086845e-05
20,Q,23,16,0.5964700817907878,0.14541630265384342
21,R,0,0,,1.0
22,S,376,433,0.990674068568243,0.9051549958280918
23,T,34,21,0.5275288279083346,0.02089724017450809
24,U,25,28,0.9649402390438248,0.8908770629001036
25,V,27,36,1.152,0.6122259458554229
26,W,0,1,inf,1.0
27,XX,0,0,,1.0
28,XXX,0,0,,1.0
29,Y,0,0,,1.0
30,Z,1,0,0.0,0.4629385386441572
