SID,Family,Subject,Lineage_1,Lineage_2,Lineage_3,Lineage_4,Lineage_5,Lineage_6,Lineage_7,Lineage_8,Lineage_9,Lineage_10,Lineage_11,Lineage_12,Lineage_13,Lineage_14,Lineage_15,Lineage_16,Lineage_17,Lineage_18,Lineage_19,Lineage_20,Lineage_21,Lineage_22,Lineage_23,Lineage_24,Lineage_25,Lineage_26,Lineage_27,Lineage_28,Lineage_29,Lineage_30,Lineage_31,Lineage_32,Lineage_33,Lineage_34,Lineage_35,Lineage_36,Lineage_37,Lineage_38,Lineage_39,Lineage_40,Lineage_41,Lineage_42,Lineage_43,Lineage_44,Lineage_45,Lineage_46,Lineage_47,Lineage_48,Lineage_49,Lineage_50,Lineage_51,Lineage_52,Lineage_53,Lineage_54,Lineage_55,Lineage_56,Lineage_57,Lineage_58,Lineage_59,Lineage_60,Lineage_61,Lineage_62,Lineage_63,Lineage_64,Lineage_65,Lineage_66,Lineage_67,Lineage_68,Lineage_69,Lineage_70,Lineage_71,Lineage_72,Lineage_73,Lineage_74,Lineage_75,Lineage_76,Lineage_77,Lineage_78,Lineage_79,Lineage_80,Lineage_81,Lineage_82,Lineage_83,Lineage_84,Lineage_85,Lineage_86,Lineage_87,Lineage_88,Lineage_89,Lineage_90,Lineage_91,Lineage_92
1AA1,1,1AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857142857142857,0,0,0,0.0285714285714286,0,0,0,0,0,0,0,0,0,0,0.0428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328571428571429,0.0571428571428571,0.171428571428571,0.128571428571429,0,0,0,0.114285714285714,0,0,0,0.0428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AA3,1,1AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209302325581395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372093023255814,0.162790697674419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697674418604651,0.162790697674419,0,0,0,0,0,0.0232558139534884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AA4,1,1AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0704225352112676,0.267605633802817,0,0,0,0,0,0,0,0,0,0,0.338028169014085,0,0,0,0.0845070422535211,0.0563380281690141,0.0140845070422535,0,0,0,0.169014084507042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1PA1,1,1PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361111111111111,0.291666666666667,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1PA2,1,1PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893939393939394,0,0,0,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757575757575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1PA4,1,1PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46031746031746,0,0,0,0,0,0.0317460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.0158730158730159,0,0,0.0317460317460317,0,0,0,0,0,0,0,0,0,0,0,0.0952380952380952,0,0,0.206349206349206,0.0158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1PB2,1,1PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163934426229508,0,0,0.0163934426229508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245901639344262,0,0.0655737704918033,0,0,0,0.0491803278688525,0.60655737704918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1PB3,1,1PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422535211267606,0,0,0.0140845070422535,0,0,0,0,0,0.0422535211267606,0.197183098591549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253521126760563,0,0,0,0.0140845070422535,0.394366197183099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422535211267606
2AA1,2,2AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192982456140351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AA3,2,2AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337837837837838,0,0.0405405405405405,0,0,0,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898648648648649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
