,1AA3C_23YAS_90,1AA3C_23YAS_93,1AA3C_23YAS_94,1AA4C_Z02_71,1AA4C_Z02_81,1AA4C_Z02_85,1PA1K_28JA_17,1PA1N_28JB_60,1PA2C_11JES_51,1PA2N_11JES_24,1PA4C_22YD_91,1PA4F_22YD_41,1PA4N_22YD_57,1PB2N_24JB_27,1PB2N_Z08_44,1PB3C_23YAC_20,1PB3C_8YDS_76,2AA1C_28JA_61,2AA1C_28JA_67,2AA3C_23YBC_2,2AA3K_9YD_62,2PA1C_11JCS_80,2PA1C_11JCS_83,2PA3C_15YE_37,2PA3C_15YE_41,2PA3C_15YE_61,2PA3C_15YE_82,2PA3N_15YE_35,2PB1C_Z08_6,2PB1F_Z08_17,2PB1K_Z08_8,2PB1N_24JB_86,2PB1N_24JB_91,4AA1F_X13_37,4AA1F_X13_46,4AA1F_X13_48,4AA1F_X14_79,4AA1N_X16_28,4AB1K_X16_57,4AB1N_X14_13,5PA1C_11JBS_66,5PA1C_11JBS_94,5PA1F_11JBS_3,5PA1N_11JBS_61,5PB3C_22YC_85,5PB3C_22YC_86,5PB3N_22YC_31,7AA1C_28JC_11,7AA1C_28JC_5,7AA1C_X14_93,7AA4C_23YAC_39,7AA4F_Z04_59,7AB4N_22YB_3,7PA1C_28JC_68,7PA1C_28JC_92,8AB1F_25YH_17,8AB1K_25YH_62,8AB4C_23YAS_16,8AB4C_25YA_77,8AB4F_25YA_19,8AC1C_25YC_8,8AC1N_25YC_3,8AC4C_8YAS_89,8PB1K_25YC_40,8PB3F_23YCS_6,8PB4N_25YD_28
1AA3C_23YAS_90,1,0.97962785,0.97978554,0.97789693,0.97855143,0.97758652,0.9884539,0.97746029,0.79064499,0.9778999,0.97802431,0.97823337,0.97743167,0.97909073,0.97665105,0.97944957,0.97736272,0.97912316,0.97933947,0.97844332,0.97727297,0.97701428,0.97826624,0.98720178,0.97786419,0.97776193,0.97662428,0.98529332,0.75919813,0.76944828,0.49248207,0.97758752,0.97722601,0.98574533,0.97938709,0.98744829,0.97778236,0.97949777,0.97807907,0.98590505,0.97705489,0.97838055,0.9767734,0.97701179,0.97793183,0.9765948,0.9779482,0.97664353,0.9773594,0.97724988,0.97993838,0.83243906,0.97896558,0.97819621,0.97847624,0.97765646,0.97929496,0.99384701,0.9765622,0.97882903,0.77834201,0.97806428,0.97778205,0.97942617,0.97813639,0.97940909
1AA3C_23YAS_93,0.97962785,1,0.98652864,0.98489869,0.98393853,0.9845803,0.97880237,0.98314146,0.78809472,0.98408317,0.98299224,0.98306423,0.98335728,0.98639511,0.99632368,0.98361342,0.98378283,0.98472114,0.98592246,0.98424455,0.98786423,0.98377692,0.98395954,0.97824516,0.98372634,0.98368988,0.98468864,0.97818303,0.75971719,0.76721891,0.49325203,0.98229161,0.98808503,0.97539898,0.98563216,0.97642184,0.98352804,0.98732408,0.98618389,0.97640039,0.98524205,0.98269939,0.99801324,0.9842961,0.98610159,0.98417195,0.98586399,0.98096974,0.98256232,0.98482478,0.98520637,0.83062591,0.9847957,0.98480458,0.98502912,0.99881773,0.98513656,0.97925534,0.98415053,0.98611276,0.77469752,0.98626557,0.98417291,0.98539821,0.9834619,0.982625
1AA3C_23YAS_94,0.97978554,0.98652864,1,0.99468316,0.99369758,0.99227315,0.98316281,0.99339316,0.78981227,0.99281645,0.99415452,0.99197823,0.99327892,0.99469358,0.98410917,0.9940055,0.99363243,0.99404097,0.99671574,0.99258029,0.98500558,0.99215625,0.99308092,0.98286041,0.99266192,0.99203746,0.99244134,0.97926225,0.76066148,0.76956009,0.494625,0.99331478,0.98616512,0.9787645,0.99284354,0.97868938,0.99355582,0.99507666,0.99388734,0.97987451,0.99343419,0.99433059,0.98522933,0.99384063,0.99319944,0.99590551,0.99308104,0.99158032,0.9921381,0.99263359,0.99507792,0.83063448,0.99208541,0.99275106,0.99439857,0.98578927,0.99699357,0.97968047,0.99178745,0.99622001,0.77837649,0.993657,0.99290827,0.99495459,0.99357762,0.99237608
1AA4C_Z02_71,0.97789693,0.98489869,0.99468316,1,0.99511883,0.9940516,0.98307278,0.99474294,0.79040665,0.99520977,0.99357354,0.99383257,0.99230999,0.99435764,0.98522281,0.99440655,0.99539562,0.99307506,0.99359407,0.9941751,0.98644395,0.99336518,0.99654328,0.98305577,0.99262242,0.99447798,0.99540562,0.97990063,0.75965641,0.76982028,0.49260081,0.99460065,0.9845,0.9780948,0.99271242,0.97842616,0.99570799,0.99408667,0.9942926,0.98002948,0.99494262,0.99476236,0.98452025,0.99476492,0.99483502,0.99365864,0.99467842,0.99347368,0.99403894,0.9950771,0.99414052,0.83113747,0.99209571,0.99375219,0.99328394,0.98426742,0.99415794,0.97846351,0.99320437,0.99361114,0.77701277,0.99407457,0.99433295,0.99367981,0.99538933,0.99385832
1AA4C_Z02_81,0.97855143,0.98393853,0.99369758,0.99511883,1,0.99361015,0.98184251,0.99258929,0.78886364,0.99320278,0.99464513,0.99222503,0.99080433,0.99375796,0.98439963,0.99218955,0.99148426,0.992231,0.99333365,0.99256006,0.98542828,0.99153528,0.99229385,0.98177937,0.9928823,0.99436784,0.99396425,0.97895653,0.76021011,0.76952377,0.49367729,0.99220864,0.98592777,0.97822334,0.99280488,0.97855348,0.99336933,0.99387616,0.99348257,0.97857504,0.99360538,0.99255205,0.98335661,0.99225596,0.99341229,0.99260856,0.99355986,0.99380022,0.99199134,0.99073444,0.99332197,0.82946962,0.99259845,0.99260497,0.99169907,0.98296849,0.99314672,0.97761129,0.99422694,0.99439628,0.77515228,0.99300299,0.9923436,0.9939817,0.99342996,0.99036077
1AA4C_Z02_85,0.97758652,0.9845803,0.99227315,0.9940516,0.99361015,1,0.98100721,0.99161394,0.78921811,0.99612489,0.99335332,0.99536266,0.99060649,0.99370979,0.98291632,0.99425511,0.99278027,0.99338067,0.99332656,0.9963785,0.98498128,0.99550664,0.99278565,0.98107294,0.99123196,0.99292077,0.99403853,0.97848475,0.7592905,0.76994448,0.49392353,0.99372051,0.98341135,0.9755358,0.99373951,0.97647032,0.99329576,0.99386294,0.99620584,0.97713099,0.99613816,0.99252886,0.98263233,0.99332393,0.99591737,0.99072069,0.9975593,0.9925793,0.99590737,0.99506099,0.99431235,0.82936182,0.99224768,0.99662657,0.99377409,0.9825536,0.99227684,0.97862192,0.99006934,0.99304702,0.77796505,0.99671801,0.99589271,0.99209045,0.99334399,0.99188677
1PA1K_28JA_17,0.9884539,0.97880237,0.98316281,0.98307278,0.98184251,0.98100721,1,0.98547101,0.78739246,0.98263013,0.98324562,0.98127499,0.97977973,0.98442699,0.97793394,0.98309839,0.98263511,0.98409014,0.98412053,0.98231253,0.97900231,0.98185338,0.98306455,0.99827028,0.98084573,0.98157014,0.98419161,0.9815793,0.75835294,0.76723966,0.49264683,0.98264001,0.97831854,0.98335714,0.98344394,0.98323341,0.98228615,0.98430299,0.98345917,0.98335948,0.98359721,0.98174907,0.97770843,0.98248833,0.98331383,0.98003859,0.98299786,0.98032938,0.98233208,0.98190693,0.9843821,0.8304354,0.98229108,0.98294644,0.98376175,0.97772152,0.98284796,0.98781376,0.98130346,0.98336461,0.77570811,0.98311462,0.98155902,0.98260767,0.98206054,0.98346807
1PA1N_28JB_60,0.97746029,0.98314146,0.99339316,0.99474294,0.99258929,0.99161394,0.98547101,1,0.79170914,0.99242285,0.99664648,0.99011334,0.98825519,0.99268459,0.98302655,0.9921662,0.99127297,0.99281779,0.99296032,0.99093463,0.98543409,0.99052977,0.9938864,0.98440422,0.9906039,0.99196398,0.99417465,0.97821975,0.76041704,0.77009022,0.49470482,0.99295958,0.98375678,0.97820083,0.99327336,0.97883447,0.99427432,0.99345349,0.99177915,0.9796173,0.99313165,0.99079847,0.98284868,0.99128341,0.99248469,0.99082672,0.99304056,0.99103285,0.99145912,0.99189435,0.99285915,0.82996013,0.99145717,0.9917668,0.99209891,0.9826983,0.99285043,0.97626439,0.99301887,0.99325765,0.777231,0.99180963,0.9903447,0.99316785,0.99393066,0.99269103
1PA2C_11JES_51,0.79064499,0.78809472,0.78981227,0.79040665,0.78886364,0.78921811,0.78739246,0.79170914,1,0.78999214,0.79389617,0.78978627,0.79152434,0.78979475,0.7872681,0.78918273,0.78822921,0.79118096,0.78947371,0.7876362,0.78748063,0.78745729,0.78819537,0.78650736,0.78858294,0.78821398,0.78974577,0.7875042,0.76161493,0.76655935,0.49208333,0.78800581,0.78755512,0.78714451,0.78798316,0.78856187,0.78804606,0.78882554,0.78780442,0.78781632,0.78939411,0.78840902,0.7880873,0.78893012,0.78937672,0.788719,0.7909027,0.78714208,0.7877901,0.78667926,0.78905936,0.80434486,0.78923676,0.78860434,0.788644,0.78864882,0.78776985,0.78834102,0.78812036,0.78980788,0.77081575,0.78877011,0.78745836,0.78914866,0.78936912,0.78704118
1PA2N_11JES_24,0.9778999,0.98408317,0.99281645,0.99520977,0.99320278,0.99612489,0.98263013,0.99242285,0.78999214,1,0.99392036,0.99509825,0.99094313,0.9941724,0.98305959,0.99145446,0.99264493,0.99245715,0.99374202,0.99606862,0.98389167,0.99545586,0.99107031,0.98239873,0.99127306,0.99053159,0.99514098,0.97732764,0.76035334,0.76819582,0.49227183,0.99068354,0.98299049,0.97606877,0.99383483,0.97752984,0.99185109,0.9944697,0.99728225,0.97714268,0.99801861,0.99120907,0.98351528,0.99390534,0.99747767,0.99217464,0.99791427,0.9909294,0.99531834,0.9931898,0.99328872,0.83183453,0.99242095,0.99603457,0.99290154,0.98297088,0.99310289,0.97755431,0.99157792,0.99470537,0.77824571,0.99780981,0.99611538,0.99332821,0.99295945,0.99172349
