SID,Lineage_1,Lineage_2,Lineage_3,Lineage_4,Lineage_5,Lineage_6,Lineage_7,Lineage_8,Lineage_9,Lineage_10,Lineage_11,Lineage_12,Lineage_13,Lineage_14,Lineage_15,Lineage_16,Lineage_17,Lineage_18,Lineage_19,Lineage_20,Lineage_21,Lineage_22,Lineage_23,Lineage_24,Lineage_25,Lineage_26,Lineage_27,Lineage_28,Lineage_29,Lineage_30,Lineage_31,Lineage_32,Lineage_33,Lineage_34,Lineage_35,Lineage_36,Lineage_37,Lineage_38,Lineage_39,Lineage_40,Lineage_41,Lineage_42,Lineage_43,Lineage_44,Lineage_45,Lineage_46,Lineage_47,Lineage_48,Lineage_49,Lineage_50,Lineage_51,Lineage_52,Lineage_53,Lineage_54,Lineage_55,Lineage_56,Lineage_57,Lineage_58,Lineage_59,Lineage_60,Lineage_61,Lineage_62,Lineage_63,Lineage_64,Lineage_65,Lineage_66,Lineage_67,Lineage_68,Lineage_69,Lineage_70,Lineage_71,Lineage_72,Lineage_73,Lineage_74,Lineage_75,Lineage_76,Lineage_77,Lineage_78,Lineage_79,Lineage_80,Lineage_81,Lineage_82,Lineage_83,Lineage_84,Lineage_85,Lineage_86,Lineage_87,Lineage_88,Lineage_89,Lineage_90,Lineage_91,Lineage_92
1AA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499599069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1AA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301782042,0.096774191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35835582,0,0,0,0,0,0.030158274,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1AA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050194174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049659029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23041603,0.129802242,0.115910821,0,0,0,0,0.102892585,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1AA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1PA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1PA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753131032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1PA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457547098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225620016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093495935,0,0,0,0.030066747,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1PA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448235422,0,0,0,0,0,0.201886237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115540721,0,0,0.023878707,0,0,0,0,0,0,0,0,0,0,0,0.127485305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1PB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13707304,0.505511403,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
1PB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076966353,0,0,0.054495819,0,0,0,0,0.021807667,0.019145802,0.152080715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147277251,0,0,0,0.228580058,0.059870563,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0.229551926
2AA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509336889,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2AA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055021837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888528168,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
