Sample Name,KitNumber,Total reads,Duplicate Reads,Kept reads,Percent Kept,,SAMPLE_NAME,TUBE,PLATE,WELL,LOCATION,SID,TP,KIT
KIT_100C_MG2_A10,,576,48,528,0.916666667,TRUE,KIT_100C_MG2_A10,100,2,A10,C,7AB,3,KIT_100
KIT_100C_MG5_A6,,1344,452,892,0.663690476,TRUE,KIT_100C_MG5_A6,100,5,A6,C,7AB,3,KIT_100
KIT_100F_MG2_D10,,2792,170,2622,0.939111748,TRUE,KIT_100F_MG2_D10,100,2,D10,F,7AB,3,KIT_100
KIT_100F_MG5_D6,,230012,202570,27442,0.119306819,TRUE,KIT_100F_MG5_D6,100,5,D6,F,7AB,3,KIT_100
KIT_100K_MG2_B10,,2626,182,2444,0.930693069,TRUE,KIT_100K_MG2_B10,100,2,B10,K,7AB,3,KIT_100
KIT_100K_MG5_B6,,178936,157414,21522,0.120277641,TRUE,KIT_100K_MG5_B6,100,5,B6,K,7AB,3,KIT_100
KIT_100N_MG2_C10,,2406,136,2270,0.943474647,TRUE,KIT_100N_MG2_C10,100,2,C10,N,7AB,3,KIT_100
KIT_100N_MG5_C6,,270374,233130,37244,0.137749932,TRUE,KIT_100N_MG5_C6,100,5,C6,N,7AB,3,KIT_100
KIT_10F_MG6_D5,,73952,61472,12480,0.168758113,TRUE,KIT_10F_MG6_D5,10,6,D5,F,15AA,1,KIT_10
KIT_10K_MG6_B5,,902026,879900,22126,0.024529226,TRUE,KIT_10K_MG6_B5,10,6,B5,K,15AA,1,KIT_10
KIT_10N_MG6_C5,,30880,21884,8996,0.291321244,TRUE,KIT_10N_MG6_C5,10,6,C5,N,15AA,1,KIT_10
KIT_12C_MG1_E4,,1450,186,1264,0.871724138,TRUE,KIT_12C_MG1_E4,50,1,E4,C,2AB,1,KIT_12
KIT_12C_MG7_A2,,593480,580686,12794,0.021557593,TRUE,KIT_12C_MG7_A2,12,7,A2,C,13AA,1,KIT_12
KIT_12F_MG1_H4,,4704,630,4074,0.866071429,TRUE,KIT_12F_MG1_H4,50,1,H4,F,2AB,1,KIT_12
KIT_12K_MG1_F4,,2390,292,2098,0.877824268,TRUE,KIT_12K_MG1_F4,50,1,F4,K,2AB,1,KIT_12
KIT_12K_MG7_B2,,361056,345462,15594,0.043189976,TRUE,KIT_12K_MG7_B2,12,7,B2,K,13AA,1,KIT_12
KIT_12N_MG1_G4,,2682,194,2488,0.927665921,TRUE,KIT_12N_MG1_G4,50,1,G4,N,2AB,1,KIT_12
KIT_12N_MG7_C2,,1067192,1023948,43244,0.040521293,TRUE,KIT_12N_MG7_C2,12,7,C2,N,13AA,1,KIT_12
KIT_17C_MG2_A3,,70122,6468,63654,0.90776076,TRUE,KIT_17C_MG2_A3,17,2,A3,C,6PA,1,KIT_17
KIT_17F_MG2_D3,,2540,168,2372,0.933858268,TRUE,KIT_17F_MG2_D3,17,2,D3,F,6PA,1,KIT_17
KIT_17K_MG2_B3,,3570,244,3326,0.931652661,TRUE,KIT_17K_MG2_B3,17,2,B3,K,6PA,1,KIT_17
KIT_17N_MG2_C3,,12220,752,11468,0.938461538,TRUE,KIT_17N_MG2_C3,17,2,C3,N,6PA,1,KIT_17
KIT_18C_MG6_E6,,1534602,1486796,47806,0.031152051,TRUE,KIT_18C_MG6_E6,18,6,E6,C,19PA,1,KIT_18
KIT_18F_MG6_H6,,10698946,10473714,225232,0.021051793,TRUE,KIT_18F_MG6_H6,18,6,H6,F,19PA,1,KIT_18
KIT_18K_MG6_F6,,6917316,6861522,55794,0.008065845,TRUE,KIT_18K_MG6_F6,18,6,F6,K,19PA,1,KIT_18
KIT_18N_MG6_G6,,5772586,5581402,191184,0.033119299,TRUE,KIT_18N_MG6_G6,18,6,G6,N,19PA,1,KIT_18
KIT_19F_MG6_D10,,88682,78812,9870,0.111296543,TRUE,KIT_19F_MG6_D10,19,6,D10,F,25UU,1,KIT_19
KIT_19K_MG6_B10,,396730,358420,38310,0.096564414,TRUE,KIT_19K_MG6_B10,19,6,B10,K,25UU,1,KIT_19
KIT_19N_MG6_C10,,159604,122022,37582,0.235470289,TRUE,KIT_19N_MG6_C10,19,6,C10,N,25UU,1,KIT_19
KIT_1C_MG1_E2,,179728,21680,158048,0.879373275,TRUE,KIT_1C_MG1_E2,1,1,E2,C,5PA,1,KIT_1
KIT_1F_MG1_H2,,1044094,131938,912156,0.873633983,TRUE,KIT_1F_MG1_H2,1,1,H2,F,5PA,1,KIT_1
KIT_1K_MG1_F2,,316020,40098,275922,0.873115626,TRUE,KIT_1K_MG1_F2,1,1,F2,K,5PA,1,KIT_1
KIT_1N_MG1_G2,,418696,29750,388946,0.928946061,TRUE,KIT_1N_MG1_G2,1,1,G2,N,5PA,1,KIT_1
KIT_210A_MG6_H3,,1650406,1646594,3812,0.002309735,TRUE,KIT_210A_MG6_H3,210,6,H3,A,1PA,5,KIT_210
KIT_210C_MG6_E,,9604944,6831052,2773892,0.288798352,FALSE,KIT_210C_MG6_E1,210,6,E1,C,1PA,5,KIT_210
KIT_210F_MG6_H,,2260942,1356430,904512,0.400059798,FALSE,KIT_210F_MG6_H1,210,6,H1,F,1PA,5,KIT_210
KIT_210K_MG6_F,,3636908,3252476,384432,0.105702976,FALSE,KIT_210K_MG6_F1,210,6,F1,K,1PA,5,KIT_210
KIT_210N_MG6_G,,10746976,8418578,2328398,0.216656109,FALSE,KIT_210N_MG6_G1,210,6,G1,N,1PA,5,KIT_210
KIT_211C_MG7_E12,,8,0,8,1,TRUE,KIT_211C_MG7_E12,211,7,E12,C,NA,2,KIT_211
KIT_211F_MG7_H12,,3842010,2812432,1029578,0.267979001,TRUE,KIT_211F_MG7_H12,211,7,H12,F,NA,2,KIT_211
KIT_211K_MG7_F12,,0,0,0,0,TRUE,KIT_211K_MG7_F12,211,7,F12,K,NA,2,KIT_211
KIT_211N_MG7_G12,,7472704,6216988,1255716,0.168040377,TRUE,KIT_211N_MG7_G12,211,7,G12,N,NA,2,KIT_211
KIT_212C_MG7_A5,,264282,233822,30460,0.115255674,TRUE,KIT_212C_MG7_A5,212,7,A5,C,15AB,4,KIT_212
KIT_212K_MG7_B5,,294722,281158,13564,0.046023032,TRUE,KIT_212K_MG7_B5,212,7,B5,K,15AB,4,KIT_212
KIT_212N_MG7_C5,,207122,186610,20512,0.09903342,TRUE,KIT_212N_MG7_C5,212,7,C5,N,15AB,4,KIT_212
KIT_213C_MG3_A,,3807852,548012,3259840,0.856083692,FALSE,KIT_213C_MG3_A1,213,3,A1,C,7PB,4,KIT_213
KIT_213F_MG3_D,,2215094,396450,1818644,0.821023397,FALSE,KIT_213F_MG3_D1,213,3,D1,F,7PB,4,KIT_213
KIT_213K_MG3_B,,7526146,1985694,5540452,0.736160579,FALSE,KIT_213K_MG3_B1,213,3,B1,K,7PB,4,KIT_213
KIT_213N_MG3,,1538864,687858,851006,0.553009233,FALSE,KIT_213N_MG3_C1,213,3,C1,N,7PB,4,KIT_213
KIT_214C_MG7_E9,,0,0,0,0,TRUE,KIT_214C_MG7_E9,214,7,E9,C,11AA,4,KIT_214
KIT_214F_MG7_H9,,827974,781238,46736,0.056446217,TRUE,KIT_214F_MG7_H9,214,7,H9,F,11AA,4,KIT_214
KIT_214K_MG7_F9,,0,0,0,0,TRUE,KIT_214K_MG7_F9,214,7,F9,K,11AA,4,KIT_214
KIT_214N_MG7_G9,,1148686,1130392,18294,0.015926023,TRUE,KIT_214N_MG7_G9,214,7,G9,N,11AA,4,KIT_214
KIT_216A_MG6_D2,,2914214,2734298,179916,0.061737402,TRUE,KIT_216A_MG6_D2,216,6,D2,A,2AA,5,KIT_216
KIT_216C_MG6_E2,,2444736,1818270,626466,0.256250982,TRUE,KIT_216C_MG6_E2,216,6,E2,C,2AA,5,KIT_216
KIT_216F_MG6_H2,,2111318,1848302,263016,0.124574318,TRUE,KIT_216F_MG6_H2,216,6,H2,F,2AA,5,KIT_216
KIT_216K_MG6_F2,,2695238,2541510,153728,0.057036892,TRUE,KIT_216K_MG6_F2,216,6,F2,K,2AA,5,KIT_216
KIT_216N_MG6_G2,,5129344,4233242,896102,0.174701092,TRUE,KIT_216N_MG6_G2,216,6,G2,N,2AA,5,KIT_216
KIT_218C_MG3_E6,,2373212,462440,1910772,0.805141724,TRUE,KIT_218C_MG3_E6,218,3,E6,C,1AA,4,KIT_218
KIT_218F_MG3_H6,,562918,138742,424176,0.75353071,TRUE,KIT_218F_MG3_H6,218,3,H6,F,1AA,4,KIT_218
KIT_218K_MG3_F6,,2301072,1069282,1231790,0.535311368,TRUE,KIT_218K_MG3_F6,218,3,F6,K,1AA,4,KIT_218
KIT_218N_MG3_G6,,563484,251366,312118,0.553907476,TRUE,KIT_218N_MG3_G6,218,3,G6,N,1AA,4,KIT_218
KIT_21C_MG4_G12,,171602,159986,11616,0.067691519,TRUE,KIT_21C_MG4_G12,21,4,G12,C,8AC,1,KIT_21
KIT_21F_MG2_H5,,2326,144,2182,0.938091144,TRUE,KIT_21F_MG2_H5,21,2,H5,F,8AC,1,KIT_21
KIT_21F_MG4_B2,,500992,483488,17504,0.034938682,TRUE,KIT_21F_MG4_B2,21,4,B2,F,8AC,1,KIT_21
KIT_21K_MG2_F5,,2340,146,2194,0.937606838,TRUE,KIT_21K_MG2_F5,21,2,F5,K,8AC,1,KIT_21
KIT_21K_MG4_H12,,26480,20076,6404,0.2418429,TRUE,KIT_21K_MG4_H12,21,4,H12,K,8AC,1,KIT_21
KIT_21MC_MG2_E5,,1642,118,1524,0.928136419,TRUE,KIT_21MC_MG2_E5,21,2,E5,C,8AC,1,KIT_21M
KIT_21N_MG2_G5,,4050,282,3768,0.93037037,TRUE,KIT_21N_MG2_G5,21,2,G5,N,8AC,1,KIT_21
KIT_21N_MG4_A2,,942466,883166,59300,0.062920042,TRUE,KIT_21N_MG4_A2,21,4,A2,N,8AC,1,KIT_21
KIT_221A_MG4_D,,3188096,3111338,76758,0.024076439,FALSE,KIT_221A_MG4_D1,221,4,D1,A,8AB,5,KIT_221
