,Day,Plate,Well,Culture,Media,Growth Rate,Time to Max Growth,Saturation OD,Rsq
0,1,Plate 1,A1,101,TSB,0.781834111,2.183333333,1.046139111,0.99690111
1,1,Plate 1,A2,105,TSB,0.73400374,2.683333333,1.072567717,0.999225297
2,1,Plate 1,A3,110,TSB,0.750526478,2.683333333,1.014855674,0.999492212
3,1,Plate 1,A4,111,TSB,0.772035781,3.016666667,1.029284782,0.999833907
4,1,Plate 1,A5,182,TSB,0.59514516,3.183333333,1.09984628,0.999324767
5,1,Plate 1,A6,201,TSB,0.554651942,2.85,1.101709002,0.999692801
6,1,Plate 1,A7,202,TSB,0.61179305,3.35,1.094856826,0.998991287
7,1,Plate 1,A8,204,TSB,0.884653719,2.85,1.067141863,0.994439556
8,1,Plate 1,A9,205,TSB,0.71825325,2.683333333,0.834570255,0.999163209
9,1,Plate 1,A10,207,TSB,0.785089537,2.516666667,0.854570282,0.999057758
10,1,Plate 1,A11,208,TSB,0.785377088,3.016666667,1.043995073,0.998557211
11,1,Plate 1,A12,209,TSB,0.88145341,3.183333333,1.01685329,0.997705566
12,1,Plate 1,B1,210,TSB,0.777529667,4.683333333,1.279563168,0.999691514
13,1,Plate 1,B2,211,TSB,0.644251621,5.683333333,0.923563559,0.998167307
14,1,Plate 1,B3,214,TSB,0.704903512,4.35,1.045709272,0.998246837
15,1,Plate 1,B4,215,TSB,0.529792503,5.516666667,1.051563155,0.998800968
16,1,Plate 1,B5,217,TSB,0.732182771,3.016666667,1.015417728,0.999465298
17,1,Plate 1,B6,218,TSB,0.810082368,4.516666667,1.363856784,0.998795697
18,1,Plate 1,B7,0,TSB,0,18.01666667,0.03496323,0
19,1,Plate 1,B8,220,TSB,0.740153762,3.183333333,1.002139376,0.999381642
20,1,Plate 1,B9,221,TSB,0.970724558,3.85,1.049562086,0.998218192
21,1,Plate 1,B10,222,TSB,0.701351161,2.683333333,1.289132504,0.999698432
22,1,Plate 1,B11,223,TSB,1.041309276,3.35,1.014283219,0.997012547
23,1,Plate 1,B12,224,TSB,1.153013092,3.183333333,1.419714214,0.991815762
24,1,Plate 1,C1,225,TSB,0.639136643,3.683333333,1.064427113,0.999285204
25,1,Plate 1,C2,226,TSB,0.490075852,6.85,0.945424965,0.999075498
26,1,Plate 1,C3,227,TSB,0.68121706,4.683333333,0.827422554,0.998953979
27,1,Plate 1,C4,228,TSB,0.723323798,2.85,1.282992203,0.999690321
28,1,Plate 1,C5,229,TSB,0.657263817,4.016666667,0.918425015,0.99893642
29,1,Plate 1,C6,230,TSB,0.546015826,5.35,1.052854914,0.998942245
30,1,Plate 1,C7,231,TSB,0.69435804,2.683333333,1.091847403,0.998633511
31,1,Plate 1,C8,232,TSB,0.491440298,3.35,0.957997017,0.996028772
32,1,Plate 1,C9,233,TSB,1.138674024,4.35,1.087853538,0.997117951
33,1,Plate 1,C10,235,TSB,0.682879282,3.016666667,0.938713263,0.999521445
34,1,Plate 1,C11,236,TSB,0.876138566,3.183333333,1.0105665,0.997670047
35,1,Plate 1,C12,237,TSB,0.955135069,2.85,1.285131024,0.998456783
36,1,Plate 1,D1,238,TSB,0.629196142,4.683333333,1.089712487,0.999917853
37,1,Plate 1,D2,239,TSB,0.754839886,2.85,1.044281921,0.999649454
38,1,Plate 1,D3,240,TSB,0.789332969,3.183333333,1.092284836,0.997850913
39,1,Plate 1,D4,241,TSB,0.64466664,5.016666667,1.021418516,0.999666267
40,1,Plate 1,D5,242,TSB,0.828627579,3.016666667,1.038131774,0.999147649
41,1,Plate 1,D6,243,TSB,0.830621303,4.183333333,1.065855075,0.998772578
42,1,Plate 1,D7,244,TSB,0.690175932,3.183333333,1.08114148,0.996284284
43,1,Plate 1,D8,248,TSB,0.577974311,3.016666667,1.053282225,0.999354229
44,1,Plate 1,D9,249,TSB,0.946283572,3.183333333,0.871996887,0.991100336
45,1,Plate 1,D10,250,TSB,0.754251334,2.683333333,1.127120515,0.999188894
46,1,Plate 1,D11,251,TSB,0.713415883,3.016666667,0.715418806,0.998210146
47,1,Plate 1,D12,252,TSB,0.813053304,3.183333333,1.259711255,0.993354863
48,1,Plate 1,E1,253,TSB,0.628417388,4.516666667,1.110708276,0.999566255
49,1,Plate 1,E2,257,TSB,0.71519361,2.85,1.062998119,0.99938994
50,1,Plate 1,E3,260,TSB,0.719121539,5.183333333,1.045567621,0.999874023
51,1,Plate 1,E4,261,TSB,0.783880677,4.35,0.931852935,0.999761154
52,1,Plate 1,E5,262,TSB,0.596016544,6.183333333,1.16970968,0.996360426
53,1,Plate 1,E6,263,TSB,0.585933157,2.183333333,0.980571012,0.99662103
54,1,Plate 1,E7,264,TSB,0.744318757,2.016666667,1.362421451,0.995251642
55,1,Plate 1,E8,273,TSB,0.684090357,3.016666667,0.951991597,0.997502465
56,1,Plate 1,E9,282,TSB,0.789184096,2.516666667,1.068137316,0.996261716
57,1,Plate 1,E10,283,TSB,0,18.01666667,1.073423933,0
58,1,Plate 1,E11,284,TSB,0.835065889,2.183333333,1.076140941,0.997658135
59,1,Plate 1,E12,285,TSB,0.871939924,3.183333333,1.408999899,0.998737844
60,1,Plate 1,F1,287,TSB,0.789954541,4.183333333,1.398409434,0.999965399
61,1,Plate 1,F2,288,TSB,0.747878888,4.683333333,1.041383693,0.999255792
62,1,Plate 1,F3,289,TSB,0.860201209,3.683333333,1.070568645,0.999742621
63,1,Plate 1,F4,290,TSB,0.784767466,3.016666667,1.428285643,0.999150123
64,1,Plate 1,F5,291,TSB,0.716461287,4.016666667,1.033855288,0.998813088
65,1,Plate 1,F6,292,TSB,0.722244281,3.85,1.042853523,0.999586861
66,1,Plate 1,F7,300,TSB,0.710553323,2.683333333,1.077140014,0.994862024
67,1,Plate 1,F8,301,TSB,0.638853903,3.516666667,0.948283046,0.99993284
68,1,Plate 1,F9,302,TSB,0.677756832,3.016666667,0.938999392,0.999716571
69,1,Plate 1,F10,303,TSB,0.76344948,3.183333333,1.030997643,0.998405897
70,1,Plate 1,F11,307,TSB,0.679503784,4.35,0.865857072,0.999523426
71,1,Plate 1,F12,0,TSB,0,18.01666667,0.021422882,0
72,1,Plate 1,G1,310,TSB,0.700681691,4.516666667,1.029712382,0.999364573
73,1,Plate 1,G2,311,TSB,0.65287613,5.516666667,1.307842887,0.999126244
74,1,Plate 1,G3,312,TSB,1.063736149,3.016666667,1.086571316,0.994578863
75,1,Plate 1,G4,313,TSB,0.777454708,4.016666667,0.775616722,0.999310922
76,1,Plate 1,G5,314,TSB,0.691004143,4.683333333,1.025279344,0.997713094
77,1,Plate 1,G6,229,TSB,0.662176239,3.683333333,0.935854785,0.999258045
78,1,Plate 1,G7,233,TSB,0.760071471,3.683333333,1.090998559,0.998988072
79,1,Plate 1,G8,257,TSB,0.821612923,3.183333333,1.013998028,0.998627121
80,1,Plate 1,G9,284,TSB,0.696798284,2.683333333,1.05885425,0.997460631
81,1,Plate 1,G10,341,TSB,0.973704743,3.183333333,1.037275838,0.998573101
82,1,Plate 1,G11,901,TSB,0.7795564,2.85,0.965131096,0.999540981
83,1,Plate 1,G12,902,TSB,0.778610181,3.35,1.063848085,0.999833792
84,1,Plate 1,H1,317,TSB,0.783755808,3.183333333,1.076423946,0.998024797
85,1,Plate 1,H2,318,TSB,0.794864477,3.183333333,1.031569647,0.999245306
86,1,Plate 1,H3,320,TSB,0.627928238,3.183333333,1.038711708,0.998925842
87,1,Plate 1,H4,321,TSB,0.662659633,3.016666667,0.811113475,0.997807256
88,1,Plate 1,H5,324,TSB,0.623177815,4.516666667,1.010282217,0.999847583
89,1,Plate 1,H6,325,TSB,0.742976348,2.85,1.031711141,0.998860885
90,1,Plate 1,H7,326,TSB,0.668254543,2.683333333,1.006422346,0.998525488
91,1,Plate 1,H8,327,TSB,0.951211476,3.016666667,0.802563435,0.995353806
92,1,Plate 1,H9,330,TSB,0.750593003,4.516666667,1.317999458,0.997792974
93,1,Plate 1,H10,331,TSB,1.157106711,3.35,0.993851621,0.997705888
94,1,Plate 1,H11,340,TSB,0.812912836,3.35,1.251999658,0.995180701
95,1,Plate 1,H12,341,TSB,0.926006782,3.016666667,1.046280291,0.998935701
