,Well,Colony,Replicate,Growth Rate,Time to Max Growth,Saturation OD,Rsq
0,Plate 1 Well A1,101,1,0.882089128,7.35,1.160428466,0.999403591
1,Plate 1 Well A2,105,1,0.874608345,7.183333333,1.148568711,0.999501603
2,Plate 1 Well A3,211,1,0.717717644,10.68333333,0.888712726,0.999721354
3,Plate 1 Well A4,215,1,0.639263094,9.85,0.959853805,0.999641937
4,Plate 1 Well A5,227,1,0.687049271,8.516666667,0.712140764,0.999756791
5,Plate 1 Well A6,230,1,0.636322844,10.01666667,0.955139353,0.999613832
6,Plate 1 Well A7,311,1,0.691057702,7.516666667,0.643713905,0.999700574
7,Plate 1 Well A8,313,1,0.855154477,11.01666667,0.765761197,0.999595494
8,Plate 1 Well A9,353,1,0.75691501,7.85,0.761705521,0.99984057
9,Plate 1 Well A10,3131,1,0.933460529,6.516666667,1.014711509,0.999193077
10,Plate 1 Well A11,3133,1,0.901634757,7.016666667,1.030568674,0.999495308
11,Plate 1 Well A12,0,0,0,18.01666667,0.020565448,0
12,Plate 1 Well B1,101,2,0.889861934,7.183333333,0.993995398,0.999357997
13,Plate 1 Well B2,105,2,0.90465836,7.183333333,1.00042502,0.99919496
14,Plate 1 Well B3,211,2,0.729280347,11.68333333,0.883998061,0.999703254
15,Plate 1 Well B4,215,2,0.639283521,10.18333333,0.965996894,0.999620646
16,Plate 1 Well B5,227,2,0.668162056,8.516666667,0.714425399,0.999584314
17,Plate 1 Well B6,230,2,0.623556467,10.18333333,0.949141589,0.999552995
18,Plate 1 Well B7,311,2,0.632263333,8.183333333,0.613856344,0.999781653
19,Plate 1 Well B8,313,2,0.853089541,11.18333333,0.753551906,0.999496543
20,Plate 1 Well B9,353,2,0.747604628,7.85,0.759705497,0.999830151
21,Plate 1 Well B10,3131,2,0.958633155,7.516666667,0.999425017,0.999014588
22,Plate 1 Well B11,3133,2,0.919957182,7.183333333,0.995281877,0.999286936
23,Plate 1 Well B12,0,0,0,18.01666667,0.018,0
24,Plate 1 Well C1,101,3,0.906896031,7.183333333,0.996424429,0.999367307
25,Plate 1 Well C2,105,3,0.889140819,7.016666667,1.008425614,0.999430368
26,Plate 1 Well C3,211,3,0.725494248,11.35,0.885713687,0.999710919
27,Plate 1 Well C4,215,3,0.641311567,10.35,0.963853819,0.999576229
28,Plate 1 Well C5,227,3,0.738194373,8.016666667,0.711139754,0.999929182
29,Plate 1 Well C6,230,3,0.630913823,10.68333333,0.95328201,0.999674418
30,Plate 1 Well C7,311,3,0.709111148,8.016666667,0.610138539,0.999590535
31,Plate 1 Well C8,313,3,0.850833646,11.51666667,0.756809043,0.999444942
32,Plate 1 Well C9,353,3,0.647468783,8.516666667,0.748713768,0.999097266
33,Plate 1 Well C10,3131,3,0.956878739,7.35,1.007280795,0.998844338
34,Plate 1 Well C11,3133,3,0.909951157,7.35,0.993994542,0.999122634
35,Plate 1 Well C12,0,0,0,18.01666667,0.025843797,0
36,Plate 1 Well D1,101,4,0.925165804,7.183333333,0.991569719,0.999295614
37,Plate 1 Well D2,105,4,0.912669811,7.183333333,1.002282333,0.999198536
38,Plate 1 Well D3,211,4,0.735931205,10.68333333,0.878142625,0.999738272
39,Plate 1 Well D4,215,4,0.635574182,10.35,0.965996894,0.999592333
40,Plate 1 Well D5,227,4,0.732351947,8.183333333,0.712282965,0.999905865
41,Plate 1 Well D6,230,4,0.619528433,10.51666667,0.941856623,0.999609245
42,Plate 1 Well D7,311,4,0.61753496,8.016666667,0.590999517,0.999788771
43,Plate 1 Well D8,313,4,0.857028775,11.68333333,0.756082199,0.999474397
44,Plate 1 Well D9,353,4,0.634751737,8.35,0.745856102,0.99916035
45,Plate 1 Well D10,3131,4,0.961857228,7.516666667,1.007280647,0.998938731
46,Plate 1 Well D11,3133,4,0.932053345,7.516666667,0.999424017,0.999036285
47,Plate 1 Well D12,0,0,0,18.01666667,0.018280219,0
48,Plate 1 Well E1,101,5,0.898176128,7.183333333,0.99656858,0.999362903
49,Plate 1 Well E2,105,5,0.886407395,7.35,1.202,0.99925866
50,Plate 1 Well E3,211,5,0.743912353,10.68333333,1.052285074,0.99962824
51,Plate 1 Well E4,215,5,0.636605359,10.18333333,1.130425934,0.999579752
52,Plate 1 Well E5,227,5,0.74198847,8.183333333,0.709140552,0.99989684
53,Plate 1 Well E6,230,5,0.625798337,10.18333333,0.946570243,0.999609659
54,Plate 1 Well E7,311,5,0.707224201,7.516666667,0.602999526,0.999536004
55,Plate 1 Well E8,313,5,0.873775586,11.18333333,0.762720994,0.999503393
56,Plate 1 Well E9,353,5,0.656179104,8.35,0.74242648,0.999110397
57,Plate 1 Well E10,3131,5,0.941414774,7.516666667,1.13,0.999218863
58,Plate 1 Well E11,3133,5,0.910304067,7.183333333,0.989281279,0.999239863
59,Plate 1 Well E12,0,0,0,18.01666667,0.020415982,0
60,Plate 1 Well F1,101,6,0.878295255,7.35,1.202142806,0.999349467
61,Plate 1 Well F2,105,6,0.85999025,7.35,1.199856973,0.999292928
62,Plate 1 Well F3,211,6,0.752477671,11.68333333,1.01999706,0.999573982
63,Plate 1 Well F4,215,6,0.626480496,10.35,1.122422606,0.999580101
64,Plate 1 Well F5,227,6,0.677755241,8.516666667,0.923999072,0.999909965
65,Plate 1 Well F6,230,6,0.628843883,10.18333333,0.943856018,0.999716048
66,Plate 1 Well F7,311,6,0.626027429,8.183333333,0.596568592,0.999818674
67,Plate 1 Well F8,313,6,0.865305462,11.35,0.739025937,0.999495461
68,Plate 1 Well F9,353,6,0.643515379,8.516666667,0.759998308,0.999122293
69,Plate 1 Well F10,3131,6,0.958485694,7.683333333,1.001709901,0.998894832
70,Plate 1 Well F11,3133,6,0.918810892,7.35,0.99299597,0.999305537
71,Plate 1 Well F12,0,0,0,18.01666667,0.021280983,0
72,Plate 1 Well G1,101,7,0.873146361,7.35,1.197569894,0.999286066
73,Plate 1 Well G2,105,7,0.857660091,7.35,1.191856492,0.999346228
74,Plate 1 Well G3,211,7,0.742364614,11.51666667,1.036570897,0.999615054
75,Plate 1 Well G4,215,7,0.630422838,10.68333333,1.08413305,0.99946954
76,Plate 1 Well G5,227,7,0.690585875,8.516666667,0.954285009,0.999983775
77,Plate 1 Well G6,230,7,0.631205507,10.68333333,1.081849693,0.999515299
78,Plate 1 Well G7,311,7,0.69891259,8.016666667,0.604855153,0.999705949
