,Lineage 38,Lineage 37,Lineage 20,Lineage 34,Lineage 11,Lineage 42,Lineage 45,Lineage 22,Lineage 49,Lineage 56,Lineage 21,Lineage 27,Lineage 10,Lineage 35,Lineage 31,Lineage 43,Lineage 14,Lineage 59,Lineage 67,Lineage 29,Lineage 52,Lineage 69,Lineage 25,Lineage 66,Lineage 16,Lineage 23,Lineage 60,Lineage 40,Lineage 39,Lineage 55,Lineage 33,Lineage 63,Lineage 50,Lineage 62,Lineage 32,Lineage 6,Lineage 61,Lineage 41,Lineage 13,Lineage 53,Lineage 19,Lineage 58,Lineage 46,Lineage 26,Lineage 30,Lineage 7,Lineage 48,Lineage 36,Lineage 9,Lineage 44,Lineage 54,Lineage 5,Lineage 57,Lineage 70,Lineage 12,Lineage 18,Lineage 17,Lineage 28,Lineage 51
Lineage 38,0,0.003553,0.026154,0.023617,0.025014,0.035564,0.037493,0.03743,0.001481,0.002437,0.003688,0.029333,0.024113,0.02736,0.024784,0.038183,0.273321,0.001914,0.001212,0.001366,0.043775,0.038999,0.157846,0.129463,0.129071,0.021225,0.023724,0.051281,0.039706,0.035905,0.324653,0.131029,0.038912,0.02306,0.035815,0.273547,0.033022,0.023654,0.042919,0.044189,0.035696,0.157221,0.129464,0.12974,0.133227,0.00143,0.024151,0.049777,0.038944,0.242219,0.241625,0.28753,0.038536,0.00192,0.001656,0.001721,0.024664,0.043976,0.032753
Lineage 37,0.003553,0,0.024919,0.022382,0.023779,0.034329,0.036258,0.036195,0.003464,0.002864,0.000999,0.028098,0.022878,0.026125,0.023549,0.036948,0.272086,0.003431,0.003399,0.003347,0.04254,0.037764,0.156611,0.128228,0.127836,0.01999,0.022489,0.050046,0.038471,0.03467,0.323418,0.129794,0.037677,0.021825,0.03458,0.272312,0.031787,0.022419,0.041684,0.042954,0.034461,0.155986,0.128229,0.128505,0.131992,0.003425,0.022916,0.048542,0.037709,0.240984,0.24039,0.286295,0.037301,0.003437,0.003173,0.003122,0.023429,0.042741,0.031518
Lineage 20,0.026154,0.024919,0,0.003269,0.017876,0.03513,0.037059,0.036996,0.026065,0.025465,0.025054,0.034845,0.029625,0.013246,0.017646,0.037749,0.272887,0.026032,0.026,0.025948,0.043341,0.038565,0.157412,0.129029,0.128637,0.029227,0.012062,0.050847,0.039272,0.035471,0.324219,0.130595,0.038478,0.031062,0.035381,0.273113,0.032588,0.029166,0.042485,0.043755,0.035262,0.156787,0.12903,0.129306,0.132793,0.026026,0.029663,0.049343,0.03851,0.241785,0.241191,0.287096,0.038102,0.026038,0.025774,0.025723,0.017526,0.043542,0.032319
Lineage 34,0.023617,0.022382,0.003269,0,0.015339,0.032593,0.034522,0.034459,0.023528,0.022928,0.022517,0.032308,0.027088,0.010709,0.015109,0.035212,0.27035,0.023495,0.023463,0.023411,0.040804,0.036028,0.154875,0.126492,0.1261,0.02669,0.009525,0.04831,0.036735,0.032934,0.321682,0.128058,0.035941,0.028525,0.032844,0.270576,0.030051,0.026629,0.039948,0.041218,0.032725,0.15425,0.126493,0.126769,0.130256,0.023489,0.027126,0.046806,0.035973,0.239248,0.238654,0.284559,0.035565,0.023501,0.023237,0.023186,0.014989,0.041005,0.029782
Lineage 11,0.025014,0.023779,0.017876,0.015339,0,0.03399,0.035919,0.035856,0.024925,0.024325,0.023914,0.033705,0.028485,0.019082,0.001914,0.036609,0.271747,0.024892,0.02486,0.024808,0.042201,0.037425,0.156272,0.127889,0.127497,0.028087,0.015446,0.049707,0.038132,0.034331,0.323079,0.129455,0.037338,0.029922,0.034241,0.271973,0.031448,0.028026,0.041345,0.042615,0.034122,0.155647,0.12789,0.128166,0.131653,0.024886,0.028523,0.048203,0.03737,0.240645,0.240051,0.285956,0.036962,0.024898,0.024634,0.024583,0.001794,0.042402,0.031179
Lineage 42,0.035564,0.034329,0.03513,0.032593,0.03399,0,0.033229,0.033166,0.035475,0.034875,0.034464,0.044255,0.039035,0.036336,0.03376,0.033919,0.275561,0.035442,0.03541,0.035358,0.031221,0.034735,0.160086,0.131703,0.131311,0.038637,0.0327,0.047017,0.035442,0.031641,0.326893,0.133269,0.041152,0.040472,0.031551,0.275787,0.035262,0.038576,0.042153,0.039925,0.031432,0.159461,0.131704,0.13198,0.135467,0.035436,0.039073,0.049011,0.03468,0.244459,0.243865,0.28977,0.040776,0.035448,0.035184,0.035133,0.03364,0.039712,0.028489
Lineage 45,0.037493,0.036258,0.037059,0.034522,0.035919,0.033229,0,0.030753,0.037404,0.036804,0.036393,0.046184,0.040964,0.038265,0.035689,0.027804,0.27749,0.037371,0.037339,0.037287,0.04144,0.032322,0.162015,0.133632,0.13324,0.040566,0.034629,0.030584,0.029327,0.03103,0.328822,0.135198,0.043081,0.042401,0.03094,0.277716,0.037191,0.040505,0.044082,0.023492,0.020647,0.16139,0.133633,0.133909,0.137396,0.037365,0.041002,0.05094,0.032267,0.246388,0.245794,0.291699,0.042705,0.037377,0.037113,0.037062,0.035569,0.023279,0.027878
Lineage 22,0.03743,0.036195,0.036996,0.034459,0.035856,0.033166,0.030753,0,0.037341,0.036741,0.03633,0.046121,0.040901,0.038202,0.035626,0.031443,0.277427,0.037308,0.037276,0.037224,0.041377,0.014429,0.161952,0.133569,0.133177,0.040503,0.034566,0.044541,0.032966,0.030967,0.328759,0.135135,0.043018,0.042338,0.030877,0.277653,0.037128,0.040442,0.044019,0.037449,0.028956,0.161327,0.13357,0.133846,0.137333,0.037302,0.040939,0.050877,0.014374,0.246325,0.245731,0.291636,0.042642,0.037314,0.03705,0.036999,0.035506,0.037236,0.027815
Lineage 49,0.001481,0.003464,0.026065,0.023528,0.024925,0.035475,0.037404,0.037341,0,0.002348,0.003599,0.029244,0.024024,0.027271,0.024695,0.038094,0.273232,0.001825,0.001327,0.001277,0.043686,0.03891,0.157757,0.129374,0.128982,0.021136,0.023635,0.051192,0.039617,0.035816,0.324564,0.13094,0.038823,0.022971,0.035726,0.273458,0.032933,0.023565,0.04283,0.0441,0.035607,0.157132,0.129375,0.129651,0.133138,0.001353,0.024062,0.049688,0.038855,0.24213,0.241536,0.287441,0.038447,0.001831,0.001567,0.001632,0.024575,0.043887,0.032664
Lineage 56,0.002437,0.002864,0.025465,0.022928,0.024325,0.034875,0.036804,0.036741,0.002348,0,0.002999,0.028644,0.023424,0.026671,0.024095,0.037494,0.272632,0.002315,0.002283,0.002231,0.043086,0.03831,0.157157,0.128774,0.128382,0.020536,0.023035,0.050592,0.039017,0.035216,0.323964,0.13034,0.038223,0.022371,0.035126,0.272858,0.032333,0.022965,0.04223,0.0435,0.035007,0.156532,0.128775,0.129051,0.132538,0.002309,0.023462,0.049088,0.038255,0.24153,0.240936,0.286841,0.037847,0.002321,0.002057,0.002006,0.023975,0.043287,0.032064
