Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
4AB1N_X14_13	4AB1N_X14_13	100	2463	2463	2455	0.996752	0.4	0.5
4AB1N_X14_13	4AA1F_X13_48	98.762904	2463	2501	2104	0.847703	0.4	0.5
4AB1N_X14_13	4AB1K_X16_57	97.815211	2463	2430	2061	0.842428	0.4	0.5
4AB1N_X14_13	4AA1N_X16_28	97.999603	2463	2352	2016	0.837383	0.4	0.5
4AB1N_X14_13	4AA1F_X14_79	97.858746	2463	2491	2058	0.830844	0.4	0.5
4AB1N_X14_13	7AA1C_X14_93	97.845541	2463	2512	2041	0.820503	0.4	0.5
4AB1N_X14_13	7PA1C_28JC_68	97.830707	2463	2463	2050	0.832318	0.4	0.5
4AB1N_X14_13	4AA1F_X13_46	97.826531	2463	2517	2058	0.826506	0.4	0.5
4AB1N_X14_13	4AA1F_X13_37	98.777021	2463	2569	2115	0.84062	0.4	0.5
4AB1N_X14_13	5PA1F_11JBS_3	97.596965	2463	2561	2059	0.819666	0.4	0.5
4AB1N_X14_13	5PA1N_11JBS_61	97.937861	2463	2641	2043	0.800549	0.4	0.5
4AB1N_X14_13	5PA1C_11JBS_66	97.848054	2463	2509	2055	0.826629	0.4	0.5
4AB1N_X14_13	5PA1C_11JBS_94	97.805085	2463	2587	2065	0.817822	0.4	0.5
4AB1N_X14_13	2PA1C_11JCS_83	97.900024	2463	2693	2044	0.792863	0.4	0.5
4AB1N_X14_13	1PA2N_11JES_24	97.714268	2463	2454	2057	0.836689	0.4	0.5
4AB1N_X14_13	1PB2N_24JB_27	97.981019	2463	2352	2031	0.843614	0.4	0.5
4AB1N_X14_13	2PB1N_24JB_86	97.801431	2463	2446	2061	0.839682	0.4	0.5
4AB1N_X14_13	2PA1C_11JCS_80	97.759076	2463	2895	2066	0.771183	0.4	0.5
4AB1N_X14_13	1PA1K_28JA_17	98.335948	2463	2566	2046	0.813681	0.4	0.5
4AB1N_X14_13	1AA3C_23YAS_93	97.640039	2463	2438	2058	0.839829	0.4	0.5
4AB1N_X14_13	1PA1N_28JB_60	97.96173	2463	2662	2046	0.798439	0.4	0.5
4AB1N_X14_13	2AA1C_28JA_67	97.947983	2463	2461	2033	0.825751	0.4	0.5
4AB1N_X14_13	7AA1C_28JC_5	97.822065	2463	2442	2053	0.837105	0.4	0.5
4AB1N_X14_13	2AA3K_9YD_62	97.676599	2463	2878	2079	0.778506	0.4	0.5
4AB1N_X14_13	1PB3C_8YDS_76	97.822149	2463	2604	2043	0.806394	0.4	0.5
4AB1N_X14_13	1PB3C_23YAC_20	97.837506	2463	2442	2049	0.835474	0.4	0.5
4AB1N_X14_13	2PA3N_15YE_35	98.776591	2463	2564	2074	0.825144	0.4	0.5
4AB1N_X14_13	2PA3C_15YE_61	97.722406	2463	2588	2053	0.812908	0.4	0.5
4AB1N_X14_13	2PA3C_15YE_82	97.938248	2463	2496	2038	0.82194	0.4	0.5
4AB1N_X14_13	7AB4N_22YB_3	97.946382	2463	2574	2059	0.81755	0.4	0.5
4AB1N_X14_13	5PB3N_22YC_31	97.870623	2463	2529	2039	0.816907	0.4	0.5
4AB1N_X14_13	5PB3C_22YC_85	97.880949	2463	2420	2055	0.841696	0.4	0.5
4AB1N_X14_13	5PB3C_22YC_86	97.827802	2463	2523	2070	0.830325	0.4	0.5
4AB1N_X14_13	1PA4N_22YD_57	97.799413	2463	2641	2045	0.801332	0.4	0.5
4AB1N_X14_13	1PA4C_22YD_91	97.875514	2463	2507	2042	0.82173	0.4	0.5
4AB1N_X14_13	2AA1C_28JA_61	97.819	2463	2546	2050	0.818527	0.4	0.5
4AB1N_X14_13	8AB4F_25YA_19	97.911773	2463	2846	2047	0.771143	0.4	0.5
4AB1N_X14_13	1AA3C_23YAS_90	98.590505	2463	2527	2080	0.833667	0.4	0.5
4AB1N_X14_13	1AA3C_23YAS_94	97.987451	2463	2407	2024	0.831211	0.4	0.5
4AB1N_X14_13	8AB1F_25YH_17	97.631447	2463	2567	2059	0.818688	0.4	0.5
4AB1N_X14_13	8PB3F_23YCS_6	97.857108	2463	2531	2054	0.822587	0.4	0.5
4AB1N_X14_13	8AC4C_8YAS_89	97.836707	2463	2414	2050	0.840681	0.4	0.5
4AB1N_X14_13	8AB4C_25YA_77	97.904652	2463	2610	2042	0.805046	0.4	0.5
4AB1N_X14_13	8PB1K_25YC_40	97.956067	2463	2422	2044	0.836847	0.4	0.5
4AB1N_X14_13	8PB4N_25YD_28	97.915939	2463	2716	2061	0.795907	0.4	0.5
4AB1N_X14_13	8AB1K_25YH_62	97.856606	2463	2348	2036	0.846394	0.4	0.5
4AB1N_X14_13	8AB4C_23YAS_16	98.567661	2463	2663	2061	0.804136	0.4	0.5
4AB1N_X14_13	7AA4C_23YAC_39	97.942103	2463	2384	2045	0.843821	0.4	0.5
4AB1N_X14_13	1AA4C_Z02_85	97.713099	2463	2519	2065	0.828984	0.4	0.5
