GBK	Record_Type_x	Record_Number_x	Full_Name_x	Class	Category	Organism	Taxonomy	Description	Record_Type_y	Record_Number_y	CC	Family	Full_Name_y
sepi_clade_68_contig_26.region001	region	1	sepi_clade_68_contig_26.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_26, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_68_contig_26.region001.gbk_region_1
sepi_clade_35_contig_21.region001	region	1	sepi_clade_35_contig_21.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_21, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_35_contig_21.region001.gbk_region_1
sepi_clade_33_contig_29.region001	region	1	sepi_clade_33_contig_29.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_29, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_33_contig_29.region001.gbk_region_1
shom_clade_507_contig_14.region001	region	1	shom_clade_507_contig_14.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_14, whole genome shotgun sequence	region	1	13	FAM_00002	shom_clade_507_contig_14.region001.gbk_region_1
sepi_clade_39_contig_12.region001	region	1	sepi_clade_39_contig_12.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_12, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_39_contig_12.region001.gbk_region_1
sepi_clade_4_contig_13.region001	region	1	sepi_clade_4_contig_13.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_13, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_4_contig_13.region001.gbk_region_1
sepi_clade_4_contig_20.region001	region	1	sepi_clade_4_contig_20.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_20, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_4_contig_20.region001.gbk_region_1
sepi_clade_49_contig_27.region001	region	1	sepi_clade_49_contig_27.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_27, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_49_contig_27.region001.gbk_region_1
saur_clade_305_contig_7.region001	region	1	saur_clade_305_contig_7.region001.gbk_region_1	terpene	terpene	.	Unknown	contig_7, whole genome shotgun sequence	region	1	33	FAM_00036	saur_clade_305_contig_7.region001.gbk_region_1
sepi_clade_35_contig_5.region001	region	1	sepi_clade_35_contig_5.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_5, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_35_contig_5.region001.gbk_region_1
sepi_clade_53_contig_2.region001	region	1	sepi_clade_53_contig_2.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_2, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_53_contig_2.region001.gbk_region_1
shom_clade_508_contig_5.region001	region	1	shom_clade_508_contig_5.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_5, whole genome shotgun sequence	region	1	1	FAM_00022	shom_clade_508_contig_5.region001.gbk_region_1
sepi_clade_44_contig_20.region001	region	1	sepi_clade_44_contig_20.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_20, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_44_contig_20.region001.gbk_region_1
sepi_clade_37_contig_19.region001	region	1	sepi_clade_37_contig_19.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_19, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_37_contig_19.region001.gbk_region_1
sepi_clade_92_contig_24.region001	region	1	sepi_clade_92_contig_24.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_24, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_92_contig_24.region001.gbk_region_1
sepi_clade_34_contig_54.region001	region	1	sepi_clade_34_contig_54.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_54, whole genome shotgun sequence	region	1	61	FAM_00023	sepi_clade_34_contig_54.region001.gbk_region_1
sepi_clade_12_contig_9.region002	region	2	sepi_clade_12_contig_9.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_9, whole genome shotgun sequence	region	2	17	FAM_00031	sepi_clade_12_contig_9.region002.gbk_region_2
sepi_clade_53_contig_10.region002	region	2	sepi_clade_53_contig_10.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_10, whole genome shotgun sequence	region	2	17	FAM_00031	sepi_clade_53_contig_10.region002.gbk_region_2
sepi_clade_40_contig_4.region001	region	1	sepi_clade_40_contig_4.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_4, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_40_contig_4.region001.gbk_region_1
sepi_clade_47_contig_25.region001	region	1	sepi_clade_47_contig_25.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_25, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_47_contig_25.region001.gbk_region_1
shom_clade_504_contig_5.region001	region	1	shom_clade_504_contig_5.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_5, whole genome shotgun sequence	region	1	13	FAM_00002	shom_clade_504_contig_5.region001.gbk_region_1
sepi_clade_58_contig_8.region002	region	2	sepi_clade_58_contig_8.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_8, whole genome shotgun sequence	region	2	21	FAM_00003	sepi_clade_58_contig_8.region002.gbk_region_2
