#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
POBCID_00770,984892.SPSE_1462,2.31E-114,339,"COG0582@1|root,COG0582@2|Bacteria,1TTJI@1239|Firmicutes,4HEI7@91061|Bacilli,4GZFG@90964|Staphylococcaceae",91061|Bacilli,L,Phage integrase family,-,-,-,-,-,-,-,-,-,-,-,-,"Arm-DNA-bind_4,Phage_int_SAM_3,Phage_int_SAM_5,Phage_integrase"
POBCID_00775,176280.SE_1466,5.57E-49,167,"COG3064@1|root,COG3064@2|Bacteria,1VASR@1239|Firmicutes,4HH3I@91061|Bacilli,4GZI5@90964|Staphylococcaceae",91061|Bacilli,M,Host cell surface-exposed lipoprotein,-,-,-,-,-,-,-,-,-,-,-,-,Lipoprotein_Ltp
POBCID_00785,1194526.A284_08095,1.05E-31,117,"COG1974@1|root,COG1974@2|Bacteria,1V9UV@1239|Firmicutes,4IQ55@91061|Bacilli,4GZIS@90964|Staphylococcaceae",91061|Bacilli,K,Peptidase S24-like,-,-,3.4.21.88,ko:K01356,-,M00729,-,-,"ko00000,ko00002,ko01000,ko01002,ko03400",-,-,-,"HTH_3,Peptidase_S24"
POBCID_00790,320839.Q4ZCJ0_9CAUD,6.25E-21,85.1,"4QD62@10239|Viruses,4QVVI@35237|dsDNA viruses  no RNA stage,4QUE7@28883|Caudovirales,4QN1E@10699|Siphoviridae",10699|Siphoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_00820,130478.Q9B0G4_9CAUD,2.29E-70,218,"4QBCR@10239|Viruses,4QWNE@35237|dsDNA viruses  no RNA stage,4QQ6I@28883|Caudovirales,4QKS3@10699|Siphoviridae",10699|Siphoviridae,S,DNA protection,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_00825,1141106.CAIB01000104_gene784,3.81E-136,390,"29IA2@1|root,30575@2|Bacteria,1TXTX@1239|Firmicutes,4I6WA@91061|Bacilli,4GZ8K@90964|Staphylococcaceae",91061|Bacilli,S,AAA domain,-,-,-,-,-,-,-,-,-,-,-,-,AAA_24
POBCID_00835,71366.O80085_9CAUD,1.46E-67,220,"4QAX8@10239|Viruses,4QPHH@28883|Caudovirales,4QKTJ@10699|Siphoviridae",10699|Siphoviridae,S,calcium ion binding,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_00845,12360.Q8SDV3_BPPHA,1.63E-76,233,"4QAR6@10239|Viruses,4QUTK@35237|dsDNA viruses  no RNA stage",10239|Viruses,S,dUTPase,-,"GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003964,GO:0004170,GO:0004175,GO:0004190,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0005488,GO:0005515,GO:0005575,GO:0006139,GO:0006259,GO:0006278,GO:0006308,GO:0006412,GO:0006414,GO:0006417,GO:0006451,GO:0006508,GO:0006518,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008907,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010608,GO:0015074,GO:0016032,GO:0016462,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0016817,GO:0016818,GO:0018130,GO:0018995,GO:0019012,GO:0019058,GO:0019080,GO:0019081,GO:0019222,GO:0019438,GO:0019439,GO:0019538,GO:0020002,GO:0030430,GO:0031323,GO:0031326,GO:0032268,GO:0032991,GO:0032993,GO:0033643,GO:0033644,GO:0033646,GO:0033647,GO:0033648,GO:0033655,GO:0034061,GO:0034248,GO:0034641,GO:0034645,GO:0034654,GO:0034655,GO:0039705,GO:0042802,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043656,GO:0043657,GO:0044174,GO:0044184,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044279,GO:0044403,GO:0044419,GO:0044823,GO:0044824,GO:0044826,GO:0046483,GO:0046700,GO:0047429,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0051704,GO:0060255,GO:0065007,GO:0070001,GO:0070011,GO:0071704,GO:0071897,GO:0072494,GO:0080090,GO:0090304,GO:0090305,GO:0097159,GO:0140096,GO:0140097,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:2000112",-,-,-,-,-,-,-,-,-,-,-
POBCID_00860,1280.SAXN108_1161,5.50E-23,89.4,"29H7C@1|root,3044X@2|Bacteria,1TW18@1239|Firmicutes,4I4QM@91061|Bacilli,4H04E@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_00865,1147044.H9A0M8_9CAUD,1.70E-52,169,"4QB6U@10239|Viruses,4QUPZ@35237|dsDNA viruses  no RNA stage,4QQ2F@28883|Caudovirales,4QKMH@10699|Siphoviridae",10699|Siphoviridae,S,Terminase small subunit,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_00870,55511.Q4ZE37_9CAUD,1.15E-239,667,"4QG21@10239|Viruses,4QYV7@35237|dsDNA viruses  no RNA stage,4QRQT@28883|Caudovirales,4QM3S@10699|Siphoviridae",10699|Siphoviridae,S,Phage terminase large subunit,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_00875,55511.Q4ZE36_9CAUD,2.68E-233,655,"4QAR7@10239|Viruses,4QUW5@35237|dsDNA viruses  no RNA stage,4QPKJ@28883|Caudovirales,4QKQ3@10699|Siphoviridae",10699|Siphoviridae,S,"Phage portal protein, SPP1 Gp6-like",-,"GO:0005575,GO:0019012,GO:0019028,GO:0032991,GO:0044423,GO:0046729,GO:0046798",-,-,-,-,-,-,-,-,-,-,-
POBCID_00880,176279.SERP0879,1.58E-156,458,"COG2369@1|root,COG2369@2|Bacteria,1U6KJ@1239|Firmicutes,4HFY6@91061|Bacilli,4H1J7@90964|Staphylococcaceae",91061|Bacilli,S,Phage Mu protein F like protein,-,-,-,-,-,-,-,-,-,-,-,-,"ADPrib_exo_Tox,Ntox50,Phage_Mu_F"
POBCID_00885,984892.SPSE_1455,3.05E-15,70.9,"29H7K@1|root,30455@2|Bacteria,1TW1S@1239|Firmicutes,4I4R4@91061|Bacilli,4H06A@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_00890,698737.SLGD_02253,2.26E-39,140,"2DNT1@1|root,32YZX@2|Bacteria,1VEET@1239|Firmicutes,4HQ00@91061|Bacilli,4GZZC@90964|Staphylococcaceae",91061|Bacilli,S,Domain of unknown function (DUF4355),-,-,-,-,-,-,-,-,-,-,-,-,DUF4355
POBCID_00895,698737.SLGD_02252,3.22E-117,346,"2C2F4@1|root,305QN@2|Bacteria,1V47S@1239|Firmicutes,4HIHZ@91061|Bacilli,4GZS6@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_00900,575608.B7T0D4_9CAUD,1.82E-34,121,"4QBCW@10239|Viruses,4QUN6@35237|dsDNA viruses  no RNA stage,4QPS7@28883|Caudovirales,4QKNA@10699|Siphoviridae",10699|Siphoviridae,S,Phage gp6-like head-tail connector protein,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_00910,698737.SLGD_02248,1.61E-28,107,"2CIV5@1|root,32ZS6@2|Bacteria,1VFPA@1239|Firmicutes,4HRD2@91061|Bacilli",91061|Bacilli,S,"Bacteriophage HK97-gp10, putative tail-component",-,-,-,-,-,-,-,-,-,-,-,-,HK97-gp10_like
POBCID_00925,458233.MCCL_0931,1.83E-34,122,"2DSY1@1|root,33HWD@2|Bacteria,1VIFH@1239|Firmicutes,4IGDY@91061|Bacilli,4H00B@90964|Staphylococcaceae",91061|Bacilli,S,"Phage tail assembly chaperone protein, TAC",-,-,-,-,-,-,-,-,-,-,-,-,Phage_TAC_12
POBCID_00930,1034809.SLUG_08750,1.05E-19,85.1,"2CCYD@1|root,305PG@2|Bacteria,1TYGR@1239|Firmicutes,4I7M0@91061|Bacilli,4H0ZI@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_00935,1034809.SLUG_08760,2.26E-108,371,"COG1196@1|root,COG5412@1|root,COG1196@2|Bacteria,COG5412@2|Bacteria,1TQ28@1239|Firmicutes,4HCMX@91061|Bacilli,4H1C3@90964|Staphylococcaceae",91061|Bacilli,D,"Phage tail tape measure protein, TP901 family",-,-,-,-,-,-,-,-,-,-,-,-,PhageMin_Tail
POBCID_00950,55511.Q4ZE17_9CAUD,4.84E-97,289,"4QAYQ@10239|Viruses,4QV86@35237|dsDNA viruses  no RNA stage,4QQ3V@28883|Caudovirales,4QKNS@10699|Siphoviridae",10699|Siphoviridae,S,Domain of unknown function (DUF2479),-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_00955,55511.Q4ZE16_9CAUD,1.25E-123,365,"4QDBN@10239|Viruses,4QX0G@35237|dsDNA viruses  no RNA stage,4QR19@28883|Caudovirales,4QM8W@10699|Siphoviridae",10699|Siphoviridae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_00960,55511.Q4ZE15_9CAUD,1.76E-147,432,"4QAYQ@10239|Viruses,4QV86@35237|dsDNA viruses  no RNA stage,4QQ3V@28883|Caudovirales,4QKNS@10699|Siphoviridae",10699|Siphoviridae,S,Domain of unknown function (DUF2479),-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_00965,904314.SEVCU012_0532,1.22E-33,121,"COG4824@1|root,COG4824@2|Bacteria,1V5S1@1239|Firmicutes,4HIAA@91061|Bacilli,4H050@90964|Staphylococcaceae",91061|Bacilli,S,Bacteriophage holin family,-,-,-,-,-,-,-,-,-,-,-,-,Phage_holin_4_1
POBCID_00970,458233.MCCL_0980,2.29E-127,372,"COG5632@1|root,COG5632@2|Bacteria,1UYW5@1239|Firmicutes,4HKY1@91061|Bacilli,4H1C8@90964|Staphylococcaceae",91061|Bacilli,M,Ami_2,-,-,-,-,-,-,-,-,-,-,-,-,Amidase_2
POBCID_00985,1220551.SCHR_03570,4.42E-14,67.4,"2DJB9@1|root,305DF@2|Bacteria,1TY5I@1239|Firmicutes,4I102@91061|Bacilli,4H06I@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POBCID_05055,176279.SERP0359,0,1223,"COG1299@1|root,COG1445@1|root,COG1762@1|root,COG1299@2|Bacteria,COG1445@2|Bacteria,COG1762@2|Bacteria,1TPKU@1239|Firmicutes,4H9KR@91061|Bacilli,4GXVJ@90964|Staphylococcaceae",91061|Bacilli,G,"PTS system, fructose-specific",fruA,-,2.7.1.202,"ko:K02768,ko:K02769,ko:K02770","ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060",M00273,R03232,"RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000",4.A.2.1,-,-,"PTS_EIIA_2,PTS_EIIC,PTS_IIB"
POBCID_05785,525378.HMPREF0793_0555,1.75E-83,257,"COG1266@1|root,COG1266@2|Bacteria,1VKZ6@1239|Firmicutes,4HSEM@91061|Bacilli,4GYEN@90964|Staphylococcaceae",91061|Bacilli,S,CAAX protease self-immunity,-,-,-,ko:K07052,-,-,-,-,ko00000,-,-,-,Abi
POBCID_05845,435838.HMPREF0786_01233,2.85E-36,125,"2A1GK@1|root,30PQ7@2|Bacteria,1TXY5@1239|Firmicutes,4I710@91061|Bacilli,4GZRF@90964|Staphylococcaceae",91061|Bacilli,S,Domain of unknown function (DUF1413),-,-,-,-,-,-,-,-,-,-,-,-,DUF1413
POBCID_08460,176279.SERP2133,1.36E-161,457,"COG1052@1|root,COG1052@2|Bacteria,1TSZ6@1239|Firmicutes,4HCIS@91061|Bacilli,4GX6A@90964|Staphylococcaceae",91061|Bacilli,CH,Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family,ldhD,-,1.1.1.28,ko:K03778,"ko00620,ko01120,map00620,map01120",-,R00704,RC00044,"ko00000,ko00001,ko01000",-,-,-,"2-Hacid_dh,2-Hacid_dh_C"
POBCID_09010,176279.SERP2249,2.37E-168,474,"COG0078@1|root,COG0078@2|Bacteria,1TPF2@1239|Firmicutes,4H9X8@91061|Bacilli,4GXB4@90964|Staphylococcaceae",91061|Bacilli,E,Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline,argF,-,2.1.3.3,ko:K00611,"ko00220,ko01100,ko01110,ko01130,ko01230,map00220,map01100,map01110,map01130,map01230","M00029,M00844",R01398,RC00096,"ko00000,ko00001,ko00002,ko01000",-,-,-,"OTCace,OTCace_N"
POBCID_09500,176279.SERP1393,8.65E-30,105,"COG3666@1|root,COG3666@2|Bacteria",2|Bacteria,-,-,-,-,-,ko:K07487,-,-,-,-,ko00000,-,-,-,"DDE_Tnp_1,DDE_Tnp_1_6,DUF772"
